area,year,month,cyber_count,avg_amount_lost,max_amount_lost,total_amount_lost,pct_upi_fraud,pct_high_value,platform_diversity,pct_elderly,pct_weekend_cyber,n_fraud_types,month_sin,month_cos,quarter,is_festival_month,area_base_weight,zone_Central,zone_East,zone_North,zone_South,zone_West,cyber_count_lag_1,cyber_count_lag_2,cyber_count_lag_3,cyber_rolling_avg_3m,cyber_mom_change,amount_lag_1,target_cyber_count
Ambavadi,2023,1,2,32728.0,46037.0,65456.0,1.0,0.0,2,0.0,0.5,1,0.49999999999999994,0.8660254037844387,1,1,3,0,0,0,0,1,1.6,1.631578947368421,1.6666666666666667,1.6416666666666664,0.2458333333333333,385423.75,1.0
Ambavadi,2023,3,1,104034.0,104034.0,104034.0,0.0,1.0,1,0.0,0.0,1,1.0,6.123233995736766e-17,1,1,3,0,0,0,0,1,2.0,1.631578947368421,1.6666666666666667,2.0,-0.5,65456.0,3.0
Ambavadi,2023,5,3,64948.333333333336,144555.0,194845.0,0.0,0.3333333333333333,3,0.0,0.6666666666666666,2,0.49999999999999994,-0.8660254037844387,2,0,3,0,0,0,0,1,1.0,2.0,1.6666666666666667,1.5,2.0,104034.0,2.0
Ambavadi,2023,7,2,36893.0,67376.0,73786.0,0.0,0.0,2,0.5,0.5,2,-0.4999999999999997,-0.8660254037844388,3,0,3,0,0,0,0,1,3.0,1.0,2.0,2.0,-0.33333333333333337,194845.0,1.0
Ambavadi,2023,8,1,4468.0,4468.0,4468.0,0.0,0.0,1,1.0,0.0,1,-0.8660254037844385,-0.5000000000000004,3,0,3,0,0,0,0,1,2.0,3.0,1.0,2.0,-0.5,73786.0,1.0
Ambavadi,2024,1,1,24710.0,24710.0,24710.0,0.0,0.0,1,0.0,0.0,1,0.49999999999999994,0.8660254037844387,1,1,3,0,0,0,0,1,1.0,2.0,3.0,2.0,0.0,4468.0,1.0
Ambavadi,2024,2,1,112991.0,112991.0,112991.0,0.0,1.0,1,0.0,0.0,1,0.8660254037844386,0.5000000000000001,1,0,3,0,0,0,0,1,1.0,1.0,2.0,1.3333333333333333,0.0,24710.0,4.0
Ambavadi,2024,3,4,159222.75,539976.0,636891.0,0.0,0.25,2,0.0,0.0,4,1.0,6.123233995736766e-17,1,1,3,0,0,0,0,1,1.0,1.0,1.0,1.0,3.0,112991.0,3.0
Ambavadi,2024,5,3,230787.0,515036.0,692361.0,0.0,0.6666666666666666,2,0.3333333333333333,0.3333333333333333,3,0.49999999999999994,-0.8660254037844387,2,0,3,0,0,0,0,1,4.0,1.0,1.0,2.0,-0.25,636891.0,2.0
Ambavadi,2024,6,2,106832.5,184799.0,213665.0,0.0,0.5,2,0.0,0.5,2,1.2246467991473532e-16,-1.0,2,0,3,0,0,0,0,1,3.0,4.0,1.0,2.6666666666666665,-0.33333333333333337,692361.0,1.0
